模块编号,客户,布局,配置,距离1最小值,距离1最大值,距离2最小值,距离2最大值,特色
THSTD_BATH_01,无,I形,淋浴,1.6,2.35,1.5,2.1,干湿分离
THSTD_BATH_02,无,I形,单台盆;淋浴,2.4,3.6,1.4,2.4,无
THSTD_BATH_03,无,I形,单台盆;浴缸,2.4,3.3,1.6,2.2,无
THSTD_BATH_04,无,I形,双台盆;淋浴,3.2,3.9,1.6,2.2,无
THSTD_BATH_05,无,I形,双台盆;浴缸,3.1,3.9,1.8,2.2,无
THSTD_BATH_06,无,I形,单台盆;淋浴;洗衣机,3.3,3.9,1.6,2.2,无
THSTD_BATH_07,无,I形,单台盆;淋浴;浴缸,3.15,6,1.5,3,无
THSTD_BATH_08,无,I形,单台盆;淋浴;洗衣机,3.3,3.9,1.8,2.2,无
THSTD_BATH_09,无,I形,双台盆;淋浴;浴缸,4,4.5,1.8,2.2,无
THSTD_BATH_10,无,L形,单台盆;淋浴,1.8,4.5,1.8,4.5,无
THSTD_BATH_11,无,L形,单台盆;淋浴,1.6,2.4,1.9,2.4,无
THSTD_BATH_12,无,L形,单台盆;淋浴;洗衣机,2.4,3,1.6,2.4,无
THSTD_BATH_13,无,L形,单台盆;淋浴;浴缸,2.5,3.3,1.8,2.6,无
THSTD_BATH_14,无,L形,单台盆;淋浴,2.5,2.7,1.6,2.2,无
THSTD_BATH_15,无,U形,单台盆;淋浴,1.8,2.1,2.2,2.5,无
THSTD_BATH_16,无,U形,单台盆;淋浴;浴缸,1.5,3,3.15,6,无
THSTD_BATH_17,无,U形,单台盆;淋浴;浴缸,1.8,2.4,3.3,4.2,无
THSTD_BATH_18,无,I形,单台盆;淋浴;浴缸,3.6,4.2,1.8,2.4,无
THSTD_BATH_19,无,U形,单台盆;浴缸,1.6,2.4,2.6,3.3,无
THSTD_BATH_20,无,U形,单台盆;浴缸,1.6,2.4,2.2,2.7,无
THSTD_BATH_21,无,U形,单台盆;淋浴,1.8,2.4,2.4,3,无
THSTD_BATH_22,无,U形,单台盆;浴缸,1.5,2.1,2.1,3.3,无
THSTD_BATH_23,无,U形,单台盆;淋浴;浴缸,2,2.7,2.5,3.3,无
THSTD_BATH_24,无,无,双台盆;淋浴;浴缸,2.4,3,2.6,3.3,无
THSTD_BATH_25,无,U形,单台盆;淋浴;浴缸,2.7,3.3,2.4,3.3,无
THSTD_BATH_26,无,U形,双台盆;淋浴;浴缸,3.2,3.9,1.8,2.4,无
THSTD_BATH_27,无,U形,双台盆;淋浴;浴缸,2.4,3,2.9,3.6,无
THSTD_BATH_28,无,U形,双台盆;淋浴;浴缸,2.7,3,2.6,3.3,三分离
THSTD_BATH_29,无,U形,双台盆;淋浴;浴缸,2.4,3,2.6,3.3,无
THSTD_BATH_30,无,U形,双台盆;淋浴;浴缸,3.6,4.2,2.7,3.3,三分离
THSTD_BATH_31,无,U形,双台盆;淋浴;浴缸,2,2.7,3.3,3.9,三分离
