模块编号,客户,布局,距离1最小值,距离1最大值,距离2最小值,距离2最大值,特色,是否需要PNG
THSTD_KICH_01,无,U形,2,2.25,2.4,3,无,否
THSTD_KICH_02,无,U形,2.3,5,2.4,6,双开门冰箱,否
THSTD_KICH_03,无,U形,1.5,3,2.5,6,无,否
THSTD_KICH_04,无,U形,1.7,1.85,2.6,3.7,无,否
THSTD_KICH_05,无,U形,1.7,1.85,2.6,3.7,双开门冰箱,否
THSTD_KICH_06,无,U形,1.9,5,2.6,6,双开门冰箱,否
THSTD_KICH_07,无,U形,1.9,2,3,3.4,无,否
THSTD_KICH_08,无,U形,1.7,1.9,2.8,2.9,无,否
THSTD_KICH_09,无,U形,1.5,6,2.4,6,无,否
THSTD_KICH_10,无,无,1.7,1.85,2.95,3.7,双开门冰箱,否
THSTD_KICH_11,无,U形,1.9,2.2,2.95,3.7,双开门冰箱,否
THSTD_KICH_12,无,L形,1.6,1.85,3.1,3.2,无,否
THSTD_KICH_13,无,L形,1.6,1.85,3.25,3.7,无,否
THSTD_KICH_14,无,L形,1.6,6,2.1,6,无,否
THSTD_KICH_15,无,L形,1.8,2.15,3.15,3.35,无,否
THSTD_KICH_16,无,L形,1.6,1.85,3.1,3.2,双开门冰箱,否
THSTD_KICH_17,无,L形,1.6,1.85,3.25,3.7,无,否
THSTD_KICH_18,无,L形,1.7,1.85,3.25,3.7,无,否
THSTD_KICH_19,无,L形,1.9,2.35,3.25,3.7,无,否
THSTD_KICH_20,无,L形,1.8,5,3.4,6,无,否
THSTD_KICH_21,无,L形,1.9,2.15,3.2,3.35,无,否
THSTD_KICH_22,旭辉,L形,1.9,2.15,3.4,3.7,无,否
THSTD_KICH_23,无,U形,2.2,2.35,3,3.15,无,否
THSTD_KICH_24,无,U形,2.2,2.35,3.2,3.35,无,否
THSTD_KICH_25,无,U形,2.2,2.35,3.2,4,无,否
THSTD_KICH_26,无,双列形,2.4,2.6,3.2,4,无,否
THSTD_KICH_27,无,双列形,2.1,6,2.1,6,无,否
THSTD_KICH_28,无,双列形,2.35,5,2.35,6,无,否
THSTD_KICH_29,无,I形,1.6,1.75,3.7,3.8,无,否
THSTD_KICH_30,无,I形,1.6,1.75,3.85,3.95,无,否
THSTD_KICH_31,无,I形,1.6,1.85,4,4.3,无,否
THSTD_KICH_32,无,双列形,1.9,2,4,4.3,无,否
